Timestamp,OAT (F),Power (kW)
2010-06-03 07:00:00,63,186.7
2010-06-03 07:15:00,64,206.8
2010-06-03 07:30:00,64,194.4
2010-06-03 07:45:00,64,211.7
2010-06-03 08:00:00,64,232.2
2010-06-03 08:15:00,65,311.7
2010-06-03 08:30:00,65,316.4
2010-06-03 08:45:00,65,326.7
2010-06-03 09:00:00,65,328.5
2010-06-03 09:15:00,68,312.6
2010-06-03 09:30:00,68,333.5
2010-06-03 09:45:00,68,347.9
2010-06-03 10:00:00,68,318.0
2010-06-03 10:15:00,71,317.7
2010-06-03 10:30:00,71,333.0
2010-06-03 10:45:00,71,352.4
2010-06-03 11:00:00,71,337.0
2010-06-03 11:15:00,72,330.8
2010-06-03 11:30:00,72,356.8
2010-06-03 11:45:00,72,346.9
2010-06-03 12:00:00,72,351.5
2010-06-03 12:15:00,73,373.1
2010-06-03 12:30:00,73,349.1
2010-06-03 12:45:00,73,362.7
2010-06-03 13:00:00,73,361.9
2010-06-03 13:15:00,73,366.1
2010-06-03 13:30:00,73,378.6
2010-06-03 13:45:00,73,363.1
2010-06-03 14:00:00,73,336.2
2010-06-03 14:15:00,74,377.7
2010-06-03 14:30:00,74,370.5
2010-06-03 14:45:00,74,385.0
2010-06-03 15:00:00,74,382.3
2010-06-03 15:15:00,74,334.3
2010-06-03 15:30:00,74,372.4
2010-06-03 15:45:00,74,379.4
2010-06-03 16:00:00,74,371.8
2010-06-03 16:15:00,75,391.2
2010-06-03 16:30:00,75,369.8
2010-06-03 16:45:00,75,356.9
2010-06-03 17:00:00,75,360.2
2010-06-03 17:15:00,74,369.1
2010-06-03 17:30:00,74,372.7
2010-06-03 17:45:00,74,378.2
2010-06-03 18:00:00,74,348.1
2010-06-03 18:15:00,73,353.4
2010-06-03 18:30:00,73,350.1
2010-06-03 18:45:00,73,317.9
2010-06-03 19:00:00,73,356.1
2010-06-03 19:15:00,71,369.8
2010-06-03 19:30:00,71,335.0
2010-06-03 19:45:00,71,333.1
2010-06-03 20:00:00,71,332.1
2010-06-03 20:15:00,69,335.7
2010-06-03 20:30:00,69,399.4
2010-06-03 20:45:00,69,385.4
2010-06-03 21:00:00,69,363.9
2010-06-03 21:15:00,67,385.2
2010-06-03 21:30:00,67,392.7
2010-06-03 21:45:00,67,369.1
2010-06-03 22:00:00,67,383.2
2010-06-03 22:15:00,66,363.8
2010-06-03 22:30:00,66,367.7
2010-06-03 22:45:00,66,334.0
2010-06-03 23:00:00,66,358.4
2010-06-03 23:15:00,65,234.3
2010-06-03 23:30:00,65,268.1
2010-06-03 23:45:00,65,211.5
2010-06-04 00:00:00,65,219.0
2010-06-04 00:15:00,65,191.8
2010-06-04 00:30:00,65,206.0
2010-06-04 00:45:00,65,202.7
2010-06-04 01:00:00,65,214.5
2010-06-04 01:15:00,65,221.7
2010-06-04 01:30:00,65,199.0
2010-06-04 01:45:00,65,185.0
2010-06-04 02:00:00,65,199.1
2010-06-04 02:15:00,65,204.7
2010-06-04 02:30:00,65,200.5
2010-06-04 02:45:00,65,205.3
2010-06-04 03:00:00,65,191.0
2010-06-04 03:15:00,65,200.8
2010-06-04 03:30:00,65,216.3
2010-06-04 03:45:00,65,195.6
2010-06-04 04:00:00,65,224.4
2010-06-04 04:15:00,64,198.3
2010-06-04 04:30:00,64,212.3
2010-06-04 04:45:00,64,200.5
2010-06-04 05:00:00,64,197.9
2010-06-04 05:15:00,64,201.4
2010-06-04 05:30:00,64,208.6
2010-06-04 05:45:00,64,201.0
2010-06-04 06:00:00,64,188.8
2010-06-04 06:15:00,62,201.9
2010-06-04 06:30:00,62,193.4
2010-06-04 06:45:00,62,188.8
2010-06-04 07:00:00,62,193.0
2010-06-04 07:15:00,65,222.9
2010-06-04 07:30:00,65,241.8
2010-06-04 07:45:00,65,214.0
2010-06-04 08:00:00,65,239.3
2010-06-04 08:15:00,67,337.6
2010-06-04 08:30:00,67,328.9
2010-06-04 08:45:00,67,330.1
2010-06-04 09:00:00,67,335.9
2010-06-04 09:15:00,69,354.0
2010-06-04 09:30:00,69,325.1
2010-06-04 09:45:00,69,326.1
2010-06-04 10:00:00,69,343.2
2010-06-04 10:15:00,72,349.4
2010-06-04 10:30:00,72,348.1
2010-06-04 10:45:00,72,357.3
2010-06-04 11:00:00,72,348.9
2010-06-04 11:15:00,74,352.9
2010-06-04 11:30:00,74,368.8
2010-06-04 11:45:00,74,369.9
2010-06-04 12:00:00,74,372.2
2010-06-04 12:15:00,75,378.7
2010-06-04 12:30:00,75,383.7
2010-06-04 12:45:00,75,361.7
2010-06-04 13:00:00,75,376.5
2010-06-04 13:15:00,78,386.2
2010-06-04 13:30:00,78,381.3
2010-06-04 13:45:00,78,390.1
2010-06-04 14:00:00,78,377.3
2010-06-04 14:15:00,77,366.7
2010-06-04 14:30:00,77,385.9
2010-06-04 14:45:00,77,380.7
2010-06-04 15:00:00,77,384.2
2010-06-04 15:15:00,77,389.6
2010-06-04 15:30:00,77,370.9
2010-06-04 15:45:00,77,366.9
2010-06-04 16:00:00,77,376.6
2010-06-04 16:15:00,74,387.7
2010-06-04 16:30:00,74,398.4
2010-06-04 16:45:00,74,378.5
2010-06-04 17:00:00,74,387.3
2010-06-04 17:15:00,75,375.1
2010-06-04 17:30:00,75,369.3
2010-06-04 17:45:00,75,375.0
2010-06-04 18:00:00,75,380.4
2010-06-04 18:15:00,73,380.6
2010-06-04 18:30:00,73,376.1
2010-06-04 18:45:00,73,368.6
2010-06-04 19:00:00,73,357.3
2010-06-04 19:15:00,69,361.2
2010-06-04 19:30:00,69,339.8
2010-06-04 19:45:00,69,354.2
2010-06-04 20:00:00,69,357.5
2010-06-04 20:15:00,68,339.1
2010-06-04 20:30:00,68,404.4
2010-06-04 20:45:00,68,388.5
2010-06-04 21:00:00,68,384.8
2010-06-04 21:15:00,67,392.4
2010-06-04 21:30:00,67,379.3
2010-06-04 21:45:00,67,373.8
2010-06-04 22:00:00,67,371.9
2010-06-04 22:15:00,67,383.7
2010-06-04 22:30:00,67,365.4
2010-06-04 22:45:00,67,358.9
2010-06-04 23:00:00,67,361.6
2010-06-04 23:15:00,66,284.6
2010-06-04 23:30:00,66,262.7
2010-06-04 23:45:00,66,246.8
2010-06-05 00:00:00,66,230.2
2010-06-05 00:15:00,66,202.9
2010-06-05 00:30:00,66,203.4
2010-06-05 00:45:00,66,211.1
2010-06-05 01:00:00,66,210.6
2010-06-05 01:15:00,65,226.5
2010-06-05 01:30:00,65,192.1
2010-06-05 01:45:00,65,217.7
2010-06-05 02:00:00,65,205.7
2010-06-05 02:15:00,65,212.1
2010-06-05 02:30:00,65,204.2
2010-06-05 02:45:00,65,211.1
2010-06-05 03:00:00,65,216.1
2010-06-05 03:15:00,64,217.9
2010-06-05 03:30:00,64,205.8
