Timestamp,TMUSite5509-2 - Speed Value,TMUSite5509-2 - Total Carriageway Flow
2018-01-03 03:59:00,106.26,31
2018-01-03 04:14:00,110.34,36
2018-01-03 04:29:00,109.98,44
2018-01-03 04:44:00,109.49,50
2018-01-03 04:59:00,115.39,77
2018-01-03 05:14:00,112.68,125
2018-01-03 05:29:00,115.71,189
2018-01-03 05:44:00,117.48,249
2018-01-03 05:59:00,116.35,349
2018-01-03 06:14:00,115.83,414
2018-01-03 06:29:00,108.75,539
2018-01-03 06:44:00,107.77,640
2018-01-03 06:59:00,106.4,677
2018-01-03 07:14:00,99.41,826
2018-01-03 07:29:00,105.28,709
2018-01-03 07:44:00,104.13,691
2018-01-03 07:59:00,107.74,620
2018-01-03 08:14:00,108.3,632
2018-01-03 08:29:00,107.38,620
2018-01-03 08:44:00,109.97,523
2018-01-03 08:59:00,112.34,476
2018-01-03 09:14:00,111.92,364
2018-01-03 09:29:00,112.79,368
2018-01-03 09:44:00,112.57,345
2018-01-03 09:59:00,113.36,368
2018-01-03 10:14:00,113.35,304
2018-01-03 10:29:00,113.48,291
2018-01-03 10:44:00,113.0,304
2018-01-03 10:59:00,112.56,306
2018-01-03 11:14:00,115.16,309
2018-01-03 11:29:00,113.79,295
2018-01-03 11:44:00,113.2,272
2018-01-03 11:59:00,114.2,289
2018-01-03 12:14:00,112.61,285
2018-01-03 12:29:00,112.4,292
2018-01-03 12:44:00,114.47,280
2018-01-03 12:59:00,114.1,288
2018-01-03 13:14:00,114.88,304
2018-01-03 13:29:00,112.2,288
2018-01-03 13:44:00,113.65,296
2018-01-03 13:59:00,114.99,309
2018-01-03 14:14:00,112.98,336
2018-01-03 14:29:00,113.69,308
2018-01-03 14:44:00,112.51,285
2018-01-03 14:59:00,112.82,294
2018-01-03 15:14:00,114.11,365
2018-01-03 15:29:00,112.56,357
2018-01-03 15:44:00,113.16,364
2018-01-03 15:59:00,114.39,355
2018-01-03 16:14:00,114.49,331
2018-01-03 16:29:00,114.71,354
2018-01-03 16:44:00,113.65,379
2018-01-03 16:59:00,112.74,355
2018-01-03 17:14:00,112.14,364
2018-01-03 17:29:00,112.54,377
2018-01-03 17:44:00,112.98,334
2018-01-03 17:59:00,114.04,318
2018-01-03 18:14:00,113.49,317
2018-01-03 18:29:00,113.12,267
2018-01-03 18:44:00,116.34,224
2018-01-03 18:59:00,115.94,204
2018-01-03 19:14:00,115.71,179
2018-01-03 19:29:00,116.79,182
2018-01-03 19:44:00,116.22,150
2018-01-03 19:59:00,111.99,128
2018-01-03 20:14:00,116.22,96
2018-01-03 20:29:00,113.32,133
2018-01-03 20:44:00,115.16,92
2018-01-03 20:59:00,115.11,91
2018-01-03 21:14:00,114.64,99
2018-01-03 21:29:00,114.6,87
2018-01-03 21:44:00,116.71,88
2018-01-03 21:59:00,114.03,78
2018-01-03 22:14:00,115.5,90
2018-01-03 22:29:00,115.18,108
2018-01-03 22:44:00,117.17,86
2018-01-03 22:59:00,115.88,78
2018-01-03 23:14:00,116.41,72
2018-01-03 23:29:00,110.52,56
2018-01-03 23:44:00,117.02,25
2018-01-03 23:59:00,111.67,15
2018-01-04 00:14:00,108.56,18
2018-01-04 00:29:00,109.26,22
2018-01-04 00:44:00,110.48,14
2018-01-04 00:59:00,112.36,15
2018-01-04 01:14:00,123.96,5
2018-01-04 01:29:00,116.05,15
2018-01-04 01:44:00,109.08,11
2018-01-04 01:59:00,108.44,13
2018-01-04 02:14:00,112.31,17
2018-01-04 02:29:00,108.31,15
2018-01-04 02:44:00,108.57,12
2018-01-04 02:59:00,103.55,13
